,count
1702,35757
1703,55435
1704,37897
1705,24889
1706,66581
1707,32843
1708,72787
1709,35194
1710,50872
1711,86860
1712,0
1713,64986
1714,70142
1715,27776
1716,61625
1717,106658
1718,23914
1719,44554
1720,0
1721,44413
1722,378663
1723,32291
1724,27728
1725,105944
1726,84125
1727,47073
1728,33327
1729,43071
1730,45341
1731,65693
1732,0
1733,31631
1734,60684
1735,44159
1736,61905
1737,113846
1738,0
1739,57382
1740,43717
1741,33917
1742,51762
1743,81550
1744,27791
1745,45775
1746,0
1747,70526
1748,0
1749,68985
1750,115919
1751,43297
1752,52790
1753,10
1754,40634
1755,45530
1756,32950
1757,2
1758,54757
1759,0
1760,52068
1761,62336
1762,43426
1763,0
1764,0
1765,31966
1766,53468
1767,40783
1768,92147
1769,31597
1770,0
1771,45236
1772,20467
1773,0
1774,29318
1775,0
1776,120488
1777,29880
1778,66571
1779,40914
1780,36999
1781,91712
1782,1
1783,67747
1784,44151
1785,56086
1786,78197
1787,30515
1788,34635
1789,63504
1790,34337
1791,36824
1792,57717
1793,53149
1794,69297
1795,34116
1796,69555
1797,43713
1798,46792
1799,61506
1800,91803
1801,2
1802,40613
1803,38731
1804,37328
1805,35424
1806,33404
1807,111448
1808,36517
1809,1
1810,4
1811,46053
1812,38665
1813,0
1814,85570
1815,29504
1816,69109
1817,47308
1818,55119
1819,48235
1820,66721
1821,2
1822,59127
1823,149987
1824,85493
1825,49161
1826,8273
1827,0
1828,46301
1829,55846
1830,55385
1831,46299
1832,13679
1833,27109
1834,71061
1835,52609
1836,48227
1837,148266
1838,76554
1839,47489
1840,30232
1841,123959
1842,30178
1843,2
1844,4
1845,0
1846,14583
1847,30583
1848,43338
1849,43041
1850,59069
1851,71281
1852,0
1853,57397
1854,46783
1855,35422
1856,40497
1857,61142
1858,50195
1859,0
1860,46196
1861,17315
1862,60600
1863,54937
1864,39271
1865,35720
1866,26655
1867,27347
1868,0
1869,27409
1870,31168
1871,54649
1872,42556
1873,47815
1874,43280
1875,2
1876,76462
1877,71644
1878,68996
1879,17472
1880,15320
1881,64199
1882,43943
1883,61515
1884,39331
1885,50887
1886,24838
1887,135322
1888,68237
1889,79615
1890,34679
1891,66365
1892,42543
1893,42765
1894,45428
1895,32691
1896,51230
1897,39652
1898,39324
1899,6
1900,39823
1901,71094
1902,30166
1903,32484
1904,29007
1905,104667
1906,0
1907,0
1908,0
1909,38724
1910,0
1911,44007
1912,35162
1913,0
1914,0
1915,3
1916,67070
1917,46854
1918,59379
1919,56464
1920,3
1921,56601
1922,108404
1923,40269
1924,79925
1925,61968
1926,50293
1927,43954
1928,25280
1929,48347
1930,25586
1931,19667
1932,41618
1933,201275
1934,15786
1935,2
1936,62412
1937,32904
1938,2
1939,102238
1940,33007
1941,84579
1942,96439
1943,34071
1944,42070
1945,37677
1946,39292
1947,0
1948,47702
1949,61033
1950,66267
1951,58041
1952,52138
1953,66149
1954,47792
1955,33638
1956,32512
1957,81336
1958,46281
1959,43968
