,name,cik,year,number,character_count,word_count,important_words,frequent_words
3360,0001524472-17-000008,1524472,17,8,141314,21216,"['yet', 'exampl', 'eps', 'epu', 'equip', 'equipment', 'equiti', 'equity', 'equival', 'equivalents', 'esop', 'establish', 'estat', 'estim', 'estimates']","[('amount', 310), ('benefit', 250), ('tax', 178), ('the', 168), ('asset', 161), ('plan', 155), ('period', 148), ('includ', 145), ('incom', 139), ('report', 128), ('valu', 110), ('share', 103), ('disclosur', 100), ('net', 98), ('defin', 95)]"
3361,0001193125-15-063352,1193125,15,63352,492983,75563,"['zero', 'institut', 'eller', 'eliminations', 'eliminated', 'eligibility', 'elig', 'eli', 'elements', 'element', 'elem', 'election', 'elected', 'elect', 'elat']","[('the', 759), ('amount', 599), ('compani', 594), ('valu', 500), ('asset', 426), ('incom', 384), ('tax', 366), ('fair', 354), ('plan', 310), ('interest', 305), ('benefit', 304), ('relat', 300), ('includ', 297), ('net', 269), ('report', 269)]"
3362,0001047469-13-001925,1047469,13,1925,829248,125537,"['zero', 'despit', 'directors', 'director', 'directli', 'direct', 'dilut', 'digit', 'difficulties', 'difficulti', 'difficult', 'different', 'differ', 'die', 'di']","[('the', 1488), ('valu', 1055), ('compani', 1012), ('fair', 799), ('includ', 774), ('asset', 694), ('amount', 689), ('benefit', 619), ('incom', 600), ('net', 598), ('invest', 591), ('use', 583), ('interest', 550), (""company'"", 506), ('rate', 500)]"
3363,0001193125-10-283357,1193125,10,283357,0,0,0,0
3364,0001193125-11-045196,1193125,11,45196,10,1,['terselabel'],"[('terselabel', 1)]"
3365,0000950123-11-019925,950123,11,19925,0,0,0,0
3366,0000097745-13-000007,97745,13,7,485990,73914,"['zero', 'draw', 'economi', 'econom', 'eclampsia', 'ebitda', 'earnings', 'earn', 'earliest', 'earlier', 'earli', 'ear', 'each', 'dure', 'durat']","[('the', 1113), ('valu', 579), ('compani', 562), ('asset', 549), ('amount', 472), ('tax', 456), ('million', 445), ('benefit', 444), ('fair', 432), ('cost', 432), ('includ', 425), ('incom', 398), ('plan', 396), ('net', 383), ('cash', 319)]"
3367,0001297996-18-000026,1297996,18,26,287595,43317,"['zero', 'enactment', 'earli', 'earlier', 'earliest', 'earn', 'earned', 'earnings', 'earnout', 'econom', 'economy', 'effect', 'effectiveness', 'effici', 'eight']","[('the', 360), ('amount', 359), ('includ', 279), ('asset', 256), ('leas', 255), ('valu', 254), ('oper', 228), ('stock', 209), ('period', 201), ('cash', 197), ('financi', 190), ('share', 188), ('use', 181), ('report', 174), ('unit', 155)]"
3368,0001193125-12-077400,1193125,12,77400,661956,100490,"['zero', 'domest', 'driven', 'drawn', 'draw', 'downsiz', 'down', 'doubt', 'domicile', 'domestic', 'domain', 'due', 'dollar', 'dodd', 'document']","[('the', 1331), ('compani', 714), ('amount', 684), ('includ', 615), ('net', 593), ('valu', 571), ('benefit', 566), ('cardmemb', 480), ('interest', 469), ('fair', 448), ('loss', 436), ('loan', 434), ('incom', 423), ('$', 415), ('receiv', 413)]"
3369,0000027904-19-000003,27904,19,3,113908,16850,"['zero', 'exact', 'esop', 'establish', 'estim', 'etc', 'even', 'event', 'events', 'exampl', 'exit', 'example', 'except', 'excess', 'exchang']","[('amount', 275), ('tax', 137), ('valu', 132), ('asset', 126), ('includ', 118), ('benefit', 116), ('oper', 106), ('report', 105), ('period', 102), ('cash', 99), ('financi', 93), ('use', 91), ('fiscal', 90), ('the', 90), ('oblig', 87)]"
